X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.17608,40.76887,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGTo-a8nrHSUx6nUSehlVniCXa6SD8HbxoPZ6OOb-r3n7AEX2Q8xz6PtOu3Z8_ennycsrEMtCSjHGk-QaOsJg6vbOoWPbx1hdhLC-SHAHZ3xjU4Cmq5gu75gVH3_w6ewGYUx3Zmxz87KI_suU8hYzdBRpwBe2M_N2ncCUYwhWMfboSD3eRqHeooAaJJV_AXsl2KINhbLjy7hQAPAZJ4S5M74OpL8dR99M6mGD5Y5m8sOE5Rla_Bd6_xei00?authuser=0&fife=s16383
-74.17584,40.76934,,,3/26,Zone 4,large,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSa7S-8z18hL_xZgI8MQYV_g9TnJJfgtFvUBsQiO-IdvPdYbFqjzQx_qxy1wpHtN1ZD5F6zETTIY35zLdgSpJMF-zXcHzZ8QX-jFO-xMdgKSf6Gaj73UUQhd9T7QBsOg6ph9h5dekTQEhI3El6FWwzx-XHlGiNX80PYaBCMI04NXKRcTPzKfmqsQTxZFOqJU2VZH_libMOzTx325INjFjnH8sDIN8OPE51Q9nGQ-GSfpTw3ClwD4mVyeTw?authuser=0&fife=s16383
-74.1759893,40.7700091,,,3/26,Zone 4,large,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSzQvn0q_rorz7uFFqZSrNyRGxd40PQJzs6Px3yaU1HnjnIbG8wO-v4hb6gPa0DiOE5cLjj3A-UnJ4HiOGdYkhICeOxstgQ-5szHP9-cCcX7VJLOschQqTI-rknb-4EwWFwQxy5ca0Rqxl2REu3kPo6-kki4yVIIIpxVtBx_dhqvQoBcTu38h9M9pdlFocZN-bhYl-BMt2pL8sYO531uEegYGALd_q2K6XUMWTycMZoA7tGAhYnQGr0fD8?authuser=0&fife=s16383
-74.17599,40.76855,,,3/26,Zone 4,medium,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGR1pzVd_uwY5Doyo_5Yb3gw2-L6JHiz4JrKOWzQ2qTe4ydYYZISjm9yMwCz5ibQJSQ2iZ-YQP3Dh1tid8aYukEKABU4cLl4vJywxKKURzKpwPkoeMdfU046aThkLyZ9WOm_Jqf3Qj3z1_68Hnu8j_XEzlSZN63tURkZjwFZ0ImYBiPwMzSVPJgPgHZXAJn4C4AT8HMpjtSMHcVp1S-KUXOLnwPT1MKvSiypPR8scrtCE3wMMrWqfLjuoTY?authuser=0&fife=s16383
-74.1762,40.76889,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGTTsERLn6Xjf_XdniovUSoj0UfhQbWHiCTw4K-mnAzBdPTRdIQPDj9tSu2z0QYnxyUbfhHJ1Hom7DdvGo8AW06VVeOGi80rVs1vP2MB37YfSTjjd3AhTHgcbmNAQX0xz4PlkJiG9F-s9vhH7Ki9xeZPcU_0xecEEk53STTE1_EYUSKOM4yE26A5WTT3jMx_vU92xWmi3Bn3UcxEbcCF1Uu7xX4H6Mtkgdk-xllbRwV67mqToZjEilQTKOk?authuser=0&fife=s16383
-74.17583,40.76937,,,3/26,Zone 4,medium,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGTZoHgFxY9iJxIJrMMLOOh1FIpVKFj36oUZjgtpT1Amb9X1DdIIOlzdm4rLbE0OlBY329OpSiWhz_R46cVFZIG7NZl3sXuGYxhfhZzmV6i5B9tDYfjZ-GS51up_SP9QQHjbov5PWCOgXBrw4j_wxkoa_Qp2dxxSTF0AWYdkDILbJYkBHU6N6B3o0xBN4Xu1qE9DhKFE9yrp62HUVCE0fPePF7vkhfybu1rpGL-z8vLZp4HyfXAleSKLBDI?authuser=0&fife=s16383
-74.174,40.769,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRE4luHNtwxZcvglEIgvygFlP2m8VnT-Wa_39AR7GeJhpImto5i4v-Tn8ZBCkHfXRgTx0BGJNWs4WPLrqb8SjpZK0czRU9LhNnWGE4ujHZz3RTjCoA2BTs-IbfoHnO4LJZvacXBBXIpWNyMWbr3PCasDjsU3l1GVu4tqyOes6gYYIrGf7DtCqijguEVlZjgRKrnz9AMmn_O-CP4M5eznEuf85TZ7BEJ_jwH0s9TL93Rjt8oKiP_Y0dE2NA?authuser=0&fife=s16383
-74.17548,40.7697,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRevZ4AOF9kRPAPQmok3uBSOsW5-4FoK-f_Xz-3Zv7T30zCU2HGa24immSAr2NePl56GLJdzPDnPtZZKLtTl1-AQzrm4IfXDMwb0ppsqwawLWMoP0ktQS_XFbDSto222YUUspkq7cujUUI8_YY8Vc2Dxob9y9hp40n9VvASqcDxMiry-cnqnr8lAnd1QDjUFh37HbX_bKp2HSEY5LaaJkZjZIC7KAqq1rY_9T5kUzok6d2TvZPAYlzJXEg?authuser=0&fife=s16383
-74.1762,40.76886,,,3/26,Zone 4,,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGTjUVBbOgem8S3nsFFE9ffZ_7B8SZshUwc3ES4vjrDQDFXvtbpKlZxt0pDZqEE45KwhjeLCLAO4DSEvagYZc30WlEVWf1z9ZWY8NZ0BME47Pv_hkp9W0bP2f4vhmHa11J3KdAzcHSlYkik1-T8FukFfaQu1Eji6bheXV1ymqSDlFViEyUlU2wQKaJSxdkf6g0vgiSpMEY14AtKLuyK6esLP148BAhhnKFg-S0sBju0ugq1wFVfYq6Ve1oo?authuser=0&fife=s16383
-74.17634,40.76871,,,3/26,Zone 4,medium,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGS_rHYiSL4pocAbdThnwN6co_BELO-87jVYv1mYDbKhPW_jbvY7S5ujX-bhqqvLuN62p0tj8i3S_WQi2XoMHGg3QkU8aazlN8SnlcfXqxsOMHaSsbEtBSCBdCxvmvsYdEwjmvFI6SgAGnHqZoAawKD34sI5YUt00_I2zReoWBmVXnZo53Cxl-EaKq6B-mx2nj1cZhCBst5MXHOeVbot4Cz6iQMk84-l5suletffMSZRkYCSoKFaIP9iBlY?authuser=0&fife=s16383
