X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.17696,40.77193,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_110.jpg
-74.1768762,40.771977,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_111.jpg
-74.17707,40.77127,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_112.jpg
-74.17695,40.77191,,,3/26,4,,,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_113.jpg
-74.176,40.771,,,3/26,4,,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_114.jpg
-74.17702,40.77138,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_115.jpg
-74.17688,40.77192,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_116.jpg
-74.17709,40.77151,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_117.jpg
-74.17701,40.77188,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_118.jpg
-74.17692,40.77198,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_119.jpg
-74.17686,40.77257,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_120.jpg
-74.17684,40.77254,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_121.jpg
-74.17702,40.77138,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_122.jpg
-74.1771154,40.771432,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_123.jpg
-74.1769,40.772,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_124.jpg
-74.17702,40.7719,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_125.jpg
